th1,th2,th3,th4,th5,th6,th7,th8,th9,th10,th11,th12,th13,th14,th15,th16,th17,th18
24.6,24.8,25.6,24.6,28.7,31.1,31.7,25.3,30.4,31,27.8,24.7,29,28.8,25.1,24.5,173,35.6
24.9,25.8,28,24.9,30.1,32.5,32.5,26.7,30.8,31.1,28.5,25,29.5,29.4,26,24.5,234,35.6
24.9,25.7,27.8,25.1,30.4,32.7,32.8,26.9,31.2,31.7,29.2,25.2,29.7,29.7,26.2,24.7,222,35.6
24.9,25.8,28,25,30.5,32.7,32.7,26.7,31.3,31.7,29.1,25.1,29.9,29.8,26.1,24.6,217,35.6
24.6,24.8,25,24.5,28.6,31.4,29.3,24.5,29.9,29.6,25.8,24.6,29,27.6,24.6,24.3,142,35.6
25.1,25.2,25,24.3,30.6,32,29.5,24.5,30.1,29.5,25.8,24.4,29,27.6,24.5,24.3,136,35.6
24.5,24.5,24.5,24.4,27.7,30.4,27.6,24.4,30,29,25.3,24.4,28.7,26.8,24.5,24.3,64,35.6
24.6,24.6,24.8,24.6,27.6,30.4,27.6,24.5,30.2,29.1,25.6,24.5,29,27.2,24.7,24.5,83,35.6
24.4,24.4,24.5,24.3,27.2,30.1,27.5,24.3,30.1,29.1,25.4,24.3,28.7,27,24.4,24.2,108,35.6
24.3,24.4,24.4,24.4,27.3,30.2,27.8,24.4,30.1,29.6,25.7,24.3,28.9,27.1,24.4,24.3,113,35.6
24.8,25.5,26.2,24.8,29.7,32.5,31.2,25,30.7,30.4,26.6,24.7,28.9,28.4,24.9,24.5,205,35.6
24.7,25.4,26.1,24.5,29.3,32.3,31.2,24.9,30.9,30.5,26.7,24.5,28.9,28.4,24.7,24.3,197,35.6
24.5,25.4,25.9,24.3,29.7,32.4,30.5,24.6,30.5,29.9,26,24.3,28.6,28,24.5,24.3,198,35.6
30,30.1,30.4,30.2,30.2,30.1,30.2,30.1,34,31.2,30,30,30.4,30,30.1,30,140,36.5
29.9,30.1,30.3,30.1,30.2,30.1,30.1,30,33.9,32.8,30,29.9,30.9,30.2,30,29.9,189,36.5
29.9,30.1,30.3,30,30.2,30.2,30,29.9,33.9,33,30,29.8,30.9,30.2,30,29.9,155,36.5
30,30.2,30.4,30.2,30.4,30.2,30.1,30,34,33.1,30.1,30,31.2,30.5,30.1,30,155,36.5
29.8,29.9,30.2,30,30.1,30,30,29.9,33.9,32.8,29.9,29.7,31,30.3,29.9,29.8,180,36.5
29.8,30,30.2,30.1,30.2,30,29.9,29.8,33.7,32.7,30,29.8,31.1,30.4,30,29.9,145,36.5
30,30.3,30.4,30.3,30.3,30.1,30.1,30,34,32.9,30.2,30.1,31.1,30.5,30,29.9,147,36.5
29.9,30.1,30.3,30.1,30.2,30,30,29.9,33.9,32.8,30,29.9,31.1,30.3,29.9,29.9,191,36.5
29.8,30,30.2,29.9,30.1,30.1,29.8,29.8,34,32.6,30,29.8,30.8,30,29.8,29.7,175,36.5
30.1,30.2,30.5,30.2,30.3,30.1,30.1,30.1,34,32.9,30.2,30,31,30.4,30.1,30,147,36.5
29.9,30.1,30.3,30,30.1,30,30,29.9,33.8,32.7,30,29.7,31,30.3,30,29.8,143,36.5
29.7,29.9,30.1,29.9,30,29.9,29.8,29.8,33.6,32.4,29.8,29.7,30.9,30.3,29.8,29.8,139,36.5
29.8,30,30.2,30,30.2,30.1,30,29.8,34,32.6,29.9,29.7,30.8,30.1,29.9,29.9,155,36.5
29.7,29.9,30.2,29.9,30.1,30,29.9,29.7,34,32.9,30,29.8,31,30.2,29.9,29.7,178,36.5
29.9,30.1,30.3,30.1,30.2,30.2,30,29.9,34.1,33.1,30.1,29.9,31.1,30.3,29.9,29.8,175,36.5
29.9,30.1,30.2,30,30.1,30,29.9,29.8,34.1,33,30,29.9,31,30.2,29.9,29.8,172,36.5
30.1,30.2,30.4,30.1,30.3,30.1,30.1,30,34.3,33.1,30.1,29.9,31,30.3,30,29.9,171,36.5
30,30.1,30.3,30.1,30.2,30.1,30.1,30,34.2,33,30.1,29.9,31.1,30.4,30.1,30,157,36.5
29.9,30,30.2,29.9,31.2,30.4,30,29.9,34,32.1,29.9,29.8,30.7,30,30,29.9,183,36.5
29.9,30,30.2,30.1,30.3,30.1,30,29.8,34.2,32.4,29.9,29.8,30.7,30.2,30,29.8,171,36.5
29.8,30.1,30.3,30.1,30.3,30.1,30,29.8,34.3,32.5,30,29.9,30.8,30.1,29.9,29.8,173,36.5
29.9,30.1,30.3,30.1,30.2,30.2,30,29.8,34.2,32.6,30.1,29.9,30.8,30.1,30,29.9,168,36.5
30,30.2,30.3,30.1,30.2,30.1,30,29.9,34.3,32.7,30.1,30,30.9,30.3,30,29.9,164,36.5
29.9,30.1,30.3,30.1,30.2,30.1,30.1,30,34.1,32.4,29.9,29.8,30.9,30.3,30,29.9,192,36.5
29.9,30,30.3,30,30.1,30,30,29.9,33.8,32.3,30,29.8,31.2,30.5,30,29.9,191,36.5
30,30.1,30.4,30.2,30.3,30.1,30,30,33.9,32.4,30.1,30,31.2,30.5,30.1,30,144,36.5
30,30.2,30.4,30.2,30.1,30.1,30,29.9,33.8,32.6,30.1,30,31.1,30.5,30,29.9,147,36.5
30,30.1,30.3,30,30.2,29.9,30,29.9,33.9,32,30,29.8,30.6,30,29.9,29.8,147,36.5
30.1,30.2,30.5,30.2,30.5,30.4,30.2,30.2,34.5,32.6,30.2,30,30.8,30.3,30.2,30.2,167,36.5
29.9,30,30.2,29.9,31.9,30.6,30,29.8,33.8,30.9,29.9,29.7,30.4,29.7,29.8,29.7,207,36.7
29.8,30,30.2,30,31.1,30.5,29.9,29.8,34.2,31.4,29.8,29.7,30.7,29.9,29.8,29.6,184,36.7
29.9,30,30.2,30,30.8,30.3,29.9,29.8,34.3,31.7,30,29.9,31,30,29.9,29.8,207,36.7
29.8,30,30.1,29.9,30.9,30.4,30,29.8,34.4,31.7,29.9,29.8,30.9,30,29.9,29.8,211,36.7
29.9,30,30.2,29.9,30.4,30.1,30,29.8,34.4,33.2,30,29.7,32.8,30.9,30.1,29.7,269,36.7
30.1,30.1,30.3,30,31,31,30.1,30,34.9,33.6,30.2,29.9,32.2,30.4,30,29.9,228,36.7
30,30.2,30.3,30.1,31.5,30.8,30.1,30,34.6,31.9,30.1,29.9,31.1,30,30,29.9,201,36.7
30,30.1,30.3,30,31.5,30.5,30,29.9,34.5,31.7,30,29.9,31,30,30,29.9,200,36.7
30,30.1,30.3,30,31.7,30.7,30.1,29.9,34.5,31.6,30.1,29.9,31.1,30,29.9,29.8,204,36.7
29.9,30.1,30.3,30,30.7,30.1,29.9,29.9,34.3,30.7,30,29.9,30.6,29.9,29.9,29.9,175,36.7
30,30.1,30.3,30,34.1,31.5,29.9,29.8,32.2,30.2,30,29.9,30.3,29.9,29.9,29.7,200,36.7
30.1,30.1,30.4,30.1,32.6,30.5,30.1,30,32.7,30.1,30.1,30,30.4,30,30,29.9,192,36.7
29.9,30.1,30.3,30.2,30.1,30,30,30,31.6,29.9,30,29.9,31.4,30,30,30,62,36.7
29.8,30.1,30.2,30.1,31.1,30.2,29.9,29.9,34.5,31.2,29.9,29.8,30.7,30,29.9,29.8,224,36.7
26.7,27.1,27.6,26.7,30.6,29.9,26.7,26.7,31.6,29.4,26.6,26.6,27.3,26.4,26.7,26.5,198,36.3
26.9,27.3,27.7,26.9,30.9,30.2,26.9,26.9,31.8,29.6,26.7,26.7,27.3,26.4,26.8,26.7,202,36.3
27,28.2,28.2,26.8,31.7,33,29.9,26.9,30.3,28,26.8,26.6,28.7,26.8,26.8,26.6,235,36.3
26.7,27,27.7,26.8,29.4,27.8,26.7,26.7,32.3,29.5,26.6,26.6,26.3,26.4,26.7,26.6,202,36.3
26.9,27.1,27.6,26.8,29.3,27.9,26.7,26.9,32.3,29.3,26.6,26.5,26.2,26.4,26.8,26.6,208,36.3
26.8,27.1,27.6,26.8,29.4,27.9,26.8,26.8,32.3,29.2,26.6,26.7,26.4,26.5,26.8,26.6,208,36.3
26.8,27,27.5,26.7,29.1,27.6,26.5,26.7,32.2,29.3,26.5,26.5,26.2,26.4,26.6,26.6,207,36.3
26.7,26.9,27.5,26.8,28.2,27.1,26.6,26.8,32.4,28.7,26.5,26.5,26.5,26.5,26.8,26.6,198,36.3
26.6,26.9,27.4,26.6,28,26.9,26.4,26.7,32.3,28.5,26.4,26.5,26.2,26.3,26.5,26.4,200,36.3
26.6,26.8,27.5,26.7,27.8,26.8,26.6,26.7,32.4,28.5,26.4,26.5,26.3,26.4,26.7,26.5,192,36.3
26.8,27.1,27.6,26.8,27.9,26.8,26.6,26.8,32.6,28.7,26.6,26.6,26.4,26.5,26.8,26.6,192,36.3
26.5,26.8,27.4,26.6,28,26.8,26.5,26.7,32.4,28.3,26.4,26.4,26.4,26.4,26.7,26.5,197,36.3
26.7,27,27.6,26.7,27.4,26.6,26.5,26.7,32.5,28.4,26.5,26.5,26.5,26.4,26.6,26.5,203,36.3
26.6,26.9,27.5,26.7,27.8,26.8,26.5,26.8,32.5,28.3,26.5,26.6,26.5,26.5,26.7,26.6,184,36.3
26.7,27,27.5,26.8,27.7,26.7,26.6,26.8,32.6,28.3,26.5,26.5,26.3,26.3,26.6,26.6,184,36.3
26.7,27,27.7,26.9,27.9,26.8,26.5,26.8,32.4,28.2,26.5,26.7,26.5,26.5,26.7,26.6,183,36.3
26.5,26.8,27.5,26.7,26.7,26.4,26.4,26.6,32.4,27.9,26.3,26.3,26.6,26.5,26.6,26.5,216,36.3
26.8,27.2,27.7,27,26.6,26.5,26.7,26.9,32.5,27.9,26.6,26.7,27.4,26.8,26.8,26.7,171,36.3
26.5,26.9,27.5,26.8,26.8,26.4,26.4,26.6,32.4,28.3,26.4,26.4,26.7,26.5,26.6,26.5,179,36.3
26.8,27,27.5,26.7,30.9,28.7,26.6,26.7,29,26.7,26.4,26.5,26.4,26.2,26.6,26.7,175,36.3
27.1,27.3,27.8,26.9,30.9,28.1,26.6,26.8,31.1,27.8,26.6,26.7,26.6,26.4,26.8,26.7,195,36.3
26.8,27,27.5,26.8,30.9,28.1,26.5,26.8,31,27.8,26.6,26.6,26.5,26.4,26.7,26.6,195,36.3
26.7,26.9,27.5,26.6,30.5,27.9,26.5,26.7,31,27.7,26.3,26.3,26.3,26.2,26.6,26.5,211,36.3
26.8,27.1,27.6,26.8,28.7,27.3,26.6,26.8,32.1,28.7,26.5,26.6,26.5,26.5,26.8,26.7,250,36.3
26.8,27,27.6,26.9,27.8,27.3,26.6,26.8,32.1,28.9,26.6,26.6,27,26.4,26.8,26.6,205,36.3
26.7,26.9,27.5,26.7,27.9,26.8,26.5,26.6,32.3,27.9,26.4,26.4,26.6,26.5,26.8,26.6,201,36.3
29.7,29.7,29.6,29.7,30.7,30.5,29.8,29.6,33.6,33.2,29.9,29.5,30.8,30.1,29.7,29.6,199,36.2
29.7,29.6,29.6,29.7,30.6,30.3,29.8,29.6,33.7,33.2,29.9,29.5,30.6,29.9,29.5,29.5,198,36.2
29.8,29.8,29.8,30,30.8,30.6,29.9,29.8,33.7,33.2,30.1,29.8,30.9,30,29.8,29.7,203,36.2
29.7,29.6,29.6,29.8,30.7,30.4,29.7,29.5,33.5,33,29.8,29.5,30.7,29.9,29.6,29.5,195,36.2
29.7,29.6,29.6,29.7,30.8,30.5,29.8,29.6,33.7,33,29.8,29.4,30.6,29.9,29.6,29.6,184,36.2
29.9,29.8,29.8,29.9,30.8,30.7,29.9,29.8,34,33.3,30.1,29.7,30.9,30.1,29.8,29.8,195,36.2
29.8,29.8,29.7,29.8,31.3,30.8,29.9,29.7,33.5,33.2,29.9,29.5,30.4,29.8,29.6,29.6,203,36.2
30,29.9,29.9,30.1,31.6,31,30.1,29.9,33.9,33.4,30.2,29.9,30.6,30.2,29.9,29.9,200,36.2
29.9,29.8,29.7,29.9,31.3,31,29.8,29.5,33.5,32.8,30,29.7,31.2,30,29.8,29.7,189,36.2
29.8,29.8,29.7,29.9,31,30.6,29.8,29.7,33.7,32.9,29.8,29.6,30.9,30,29.7,29.7,187,36.2
